GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
pos,pos.pojo,BrandPojo,103,66,27,3,0,4,18,8,3,8
pos,pos.pojo,InventoryPojo,149,20,30,0,0,4,20,6,5,6
pos,pos.pojo,OrderItemPojo,164,100,41,5,1,6,28,11,5,11
pos,pos.pojo,OrderPojo,152,17,30,0,1,3,21,5,6,5
pos,pos.pojo,ProductPojo,221,34,46,0,0,6,28,10,5,10
pos,pos.service,InventoryService,49,59,1,5,9,16,3,9,2,7
pos,pos.service,ApiException,0,4,0,0,0,2,0,1,0,1
pos,pos.service,OrderService,144,220,10,12,22,50,10,16,2,13
pos,pos.service,ReportService,453,3,38,0,76,1,30,1,11,1
pos,pos.service,AboutAppService,0,9,0,0,0,3,0,3,0,3
pos,pos.service,BrandService,75,66,5,5,14,19,6,8,2,7
pos,pos.service,ProductService,92,73,8,6,24,19,9,9,4,7
pos,pos.controller,UIController,24,3,0,0,6,1,6,1,6,1
pos,pos.controller,AbstractUiController,20,3,0,0,4,1,1,1,1,1
pos,pos.controller,OrderController,174,3,6,0,37,1,10,1,7,1
pos,pos.controller,ReportController,55,3,0,0,14,1,4,1,4,1
pos,pos.controller,BrandController,34,3,0,0,11,1,4,1,4,1
pos,pos.controller,InvoiceController,32,3,0,0,8,1,2,1,2,1
pos,pos.controller,SampleController,40,3,0,0,9,1,1,1,1,1
pos,pos.controller,ExceptionHandler,17,3,0,0,2,1,2,1,2,1
pos,pos.controller,InventoryController,87,3,2,0,19,1,5,1,4,1
pos,pos.controller,AppController,16,3,0,0,4,1,1,1,1,1
pos,pos.controller,ProductController,116,3,2,0,21,1,5,1,4,1
pos,pos.dao,AbstractDao,10,9,0,0,2,2,2,2,2,2
pos,pos.dao,BrandDao,26,50,1,1,6,14,2,5,1,5
pos,pos.dao,ProductDao,59,26,2,0,15,7,3,4,2,4
pos,pos.dao,OrderItemDao,0,42,0,0,0,11,0,5,0,5
pos,pos.dao,OrderDao,0,32,0,0,0,8,0,4,0,4
pos,pos.dao,InventoryDao,28,52,2,2,7,14,3,5,1,5
pos,pos.model,SaleXmlList,73,10,14,0,0,2,11,3,4,3
pos,pos.model,AboutAppData,126,0,22,0,3,0,20,0,9,0
pos,pos.model,BrandForm,109,17,22,0,0,3,15,5,4,5
pos,pos.model,ReportFilter,212,0,38,0,5,0,32,0,13,0
pos,pos.model,OrderData,112,14,22,0,1,2,16,4,5,4
pos,pos.model,BrandData,83,7,16,0,2,1,13,2,5,2
pos,pos.model,InventoryData,83,7,16,0,2,1,13,2,5,2
pos,pos.model,ApiError,179,0,30,0,9,0,26,0,11,0
pos,pos.model,ProductData,76,7,14,0,1,1,12,2,5,2
pos,pos.model,InventoryReportData,154,15,30,0,3,1,22,4,7,4
pos,pos.model,InventoryForm,109,17,22,0,0,3,15,5,4,5
pos,pos.model,OrderInvoiceXmlList,202,10,38,0,3,2,29,3,10,3
pos,pos.model,ProductForm,217,38,46,0,0,6,27,11,4,11
pos,pos.model,InventoryXmlList,73,10,14,0,0,2,11,3,4,3
pos,pos.model,OrderInvoiceData,184,28,38,0,1,4,24,8,5,8
pos,pos.model,OrderItemForm,145,24,30,0,0,4,19,7,4,7
pos,pos.model,SaleReportData,193,19,38,0,4,1,27,5,8,5
pos,pos.model,BrandXmlList,83,0,14,0,2,0,14,0,7,0
pos,pos.model,OrderItemData,119,14,24,0,2,2,17,4,5,4
pos,pos.model,InfoData,94,0,14,0,5,0,14,0,7,0
pos,pos.util,StringUtil,3,18,1,5,1,2,2,4,1,2
pos,pos.util,DataConversionUtil,3,382,0,10,1,92,1,19,1,14
pos,pos.util,IOUtil,11,0,2,0,7,0,3,0,2,0
pos,pos.util,PdfConversionUtil,69,0,0,0,18,0,3,0,3,0
pos,pos.spring,WebInitializer,20,0,0,0,4,0,4,0,4,0
pos,pos.spring,ControllerConfig,4,112,0,0,2,25,1,7,1,7
pos,pos.spring,SpringConfig,3,0,0,0,1,0,1,0,1,0
pos,pos.spring,DbConfig,0,108,0,0,0,28,0,4,0,4
